knowledge graph score_pos,paper relevence score,llm_score,label
1.00,0.60,0.50,1
1.00,0.60,0.43,1
1.00,0.80,0.92,1
1.00,0.80,0.80,1
1.00,0.60,1.00,1
1.00,0.60,0.80,1
1.00,0.40,0.80,1
1.00,0.80,0.70,1
1.00,0.60,0.90,1
1.00,0.60,0.92,1
1.00,0.60,0.50,0
0.10,0.60,0.00,0
0.10,0.80,0.90,1
1.00,0.60,0.00,0
1.00,0.60,0.50,0
1.00,0.60,0.50,1
1.00,0.60,0.50,0
1.00,0.60,0.50,0
1.00,0.60,0.50,0
1.00,0.60,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.50,0
1.00,0.80,0.87,1
1.00,0.80,0.50,1
1.00,0.60,0.62,1
1.00,0.80,0.50,1
1.00,0.80,0.00,0
1.00,0.80,0.50,0
1.00,0.80,0.70,1
1.00,0.60,0.50,1
1.00,0.60,0.00,0
1.00,0.60,0.50,0
1.00,0.60,0.58,1
1.00,0.80,0.50,1
1.00,0.60,0.00,0
0.40,0.80,1.00,1
0.10,0.80,1.00,1
0.20,0.60,0.50,0
0.10,0.80,0.50,1
0.80,0.60,0.90,1
1.00,0.60,0.50,1
0.65,0.80,0.50,1
0.10,0.60,1.00,0
0.20,0.80,0.80,1
0.40,0.80,0.80,0
0.90,0.80,1.00,1
0.20,0.60,0.97,0
0.10,0.60,0.90,0
0.10,0.60,0.50,0
0.40,0.80,1.00,1
0.65,0.80,0.50,0
0.48,0.80,0.98,1
0.20,0.60,0.50,0
1.00,0.80,0.90,0
0.90,0.80,0.50,1
0.20,0.60,0.90,1
1.00,0.60,0.50,0
0.20,0.60,0.50,0
0.10,0.60,1.00,0
0.80,0.60,0.50,0
0.10,0.80,1.00,0
0.20,0.60,0.50,0
1.00,0.60,0.80,1
0.90,0.80,0.90,1
0.20,0.60,0.80,1
0.10,0.60,0.80,1
0.28,0.80,0.68,1
0.15,0.60,0.50,1
0.35,0.80,0.83,1
0.30,0.80,0.50,1
0.31,0.60,0.68,1
0.70,0.80,0.50,1
0.26,0.80,0.62,1
0.20,0.40,0.50,1
0.30,0.60,0.50,1
0.56,0.80,0.81,1
1.00,0.60,0.80,1
0.30,0.80,0.50,1
0.28,0.80,0.65,1
0.10,0.80,0.00,0
1.00,0.80,0.80,1
1.00,0.60,0.80,1
1.00,0.80,0.50,1
1.00,0.80,0.90,1
1.00,0.80,1.00,1
1.00,0.80,1.00,1
1.00,0.80,0.50,1
1.00,0.80,0.90,1
1.00,0.80,0.80,1
1.00,0.80,0.65,1
1.00,0.80,1.00,1
1.00,0.80,0.80,1
1.00,0.60,0.85,1
1.00,0.80,0.99,1
1.00,0.80,0.90,1
1.00,0.60,0.50,1
1.00,0.80,0.93,1
1.00,0.60,1.00,1
1.00,0.60,1.00,1
1.00,0.60,0.90,1
1.00,0.60,1.00,1
0.00,0.80,0.00,0
0.00,0.60,0.00,0
1.00,0.80,0.80,1
1.00,0.80,0.98,1
1.00,0.80,0.80,1
1.00,0.80,0.80,1
1.00,0.80,0.50,1
1.00,0.60,0.90,1
1.00,0.80,0.90,1
1.00,0.60,0.90,1
1.00,0.80,0.85,1
1.00,0.80,0.97,1
1.00,0.80,0.77,1
1.00,0.80,0.87,1
1.00,0.80,0.80,1
1.00,0.60,1.00,1
1.00,0.80,0.93,1
1.00,0.80,0.80,1
1.00,0.80,0.90,1
1.00,0.80,0.80,1
1.00,0.80,1.00,1
1.00,0.60,1.00,1
1.00,0.60,0.85,1
1.00,0.80,0.98,1
1.00,0.60,0.80,1
1.00,0.80,1.00,1
1.00,0.60,0.86,1
1.00,0.80,0.81,1
1.00,0.60,1.00,1
1.00,0.80,0.90,1
1.00,0.60,0.93,1
0.90,0.80,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.00,0
0.90,0.60,0.00,0
0.90,0.60,0.00,0
0.95,0.60,0.00,0
0.90,0.60,0.00,0
0.95,0.60,0.00,0
0.90,0.60,0.00,0
0.90,0.60,0.00,0
0.90,0.60,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.00,0
0.90,0.80,0.00,0
0.90,0.60,0.00,0
1.00,0.60,0.00,0
0.90,0.60,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.00,0
0.85,0.60,0.00,0
0.90,0.60,0.00,0
0.90,0.80,0.00,0
1.00,0.60,0.00,0
0.20,0.80,0.00,0
0.50,0.60,0.80,1
0.00,0.60,0.00,0
0.90,0.60,0.00,0
1.00,0.60,0.00,0
0.00,0.60,0.00,0
1.00,0.60,0.78,1
1.00,0.80,0.85,1
1.00,0.80,0.90,1
1.00,0.80,1.00,1
1.00,0.80,0.00,1
1.00,0.80,0.50,1
1.00,0.60,0.50,1
1.00,0.80,0.96,1
1.00,0.60,0.80,1
1.00,0.80,0.80,1
1.00,0.80,0.93,1
1.00,0.80,0.94,1
1.00,0.80,1.00,1
1.00,0.80,0.50,1
1.00,0.80,1.00,1
1.00,0.60,0.66,1
1.00,0.60,0.93,1
1.00,0.60,0.85,1
1.00,0.80,0.50,1
1.00,0.80,0.50,1
1.00,0.80,0.65,1
1.00,0.80,0.83,1
1.00,0.80,0.90,1
1.00,0.80,0.00,1
1.00,0.80,0.80,1
1.00,0.80,0.65,1
1.00,0.60,1.00,1
1.00,0.80,0.50,1
0.63,0.80,0.38,0
0.30,0.80,0.50,0
0.10,0.80,0.50,0
0.25,0.60,0.50,0
0.20,0.60,0.50,0
0.10,0.60,0.00,0
0.05,0.60,0.00,0
0.95,0.60,0.85,1
0.30,0.60,0.00,0
0.20,0.60,0.50,0
1.00,0.80,0.50,0
0.50,0.80,0.40,0
0.30,0.80,0.50,0
0.28,0.60,0.30,0
0.30,0.80,0.50,0
0.25,0.60,0.50,0
0.10,0.60,0.50,0
0.30,0.40,0.00,0
0.30,0.60,0.00,0
0.50,0.60,0.00,0
1.00,0.60,0.00,0
0.10,0.80,0.00,0
0.20,0.80,0.50,0
0.50,0.80,0.50,0
0.90,0.60,0.00,0
0.20,0.60,0.50,0
0.10,0.80,0.00,0
0.20,0.80,0.00,0
0.20,0.60,0.50,0
0.62,0.60,0.00,0
0.20,0.80,0.00,0
0.90,0.80,0.50,0
0.70,0.80,0.25,0
0.10,0.60,0.00,0
0.25,0.80,0.65,1
0.90,0.80,0.50,0
0.44,0.60,0.37,0
0.10,0.60,0.50,0
0.10,0.60,0.00,0
0.20,0.80,0.50,0
0.31,0.60,0.00,0
0.20,0.60,0.00,0
0.50,0.60,0.50,0
0.20,0.60,0.50,0
0.67,0.60,0.50,0
0.20,0.80,0.50,0
0.26,0.80,0.50,0
1.00,0.80,0.50,0
0.90,0.80,0.00,0
0.15,0.60,0.00,0
0.10,0.80,0.50,0
1.00,0.40,0.00,0
0.27,0.80,0.17,0
0.20,0.80,0.50,0
0.20,0.80,0.50,0
1.00,0.80,0.00,0
0.20,0.40,0.00,0
1.00,0.60,0.50,0
0.20,0.80,0.00,0
1.00,0.80,0.00,0
0.20,0.80,0.50,0
0.40,0.80,0.50,0
0.27,0.80,0.50,0
0.56,0.80,0.83,1
0.49,0.80,0.06,0
0.55,0.60,0.50,0
0.60,0.60,0.00,0
0.20,0.80,0.50,0
0.90,0.60,0.50,0
1.00,0.60,0.00,0
0.20,0.80,0.50,0
0.20,0.80,0.50,0
0.27,0.80,0.17,0
0.45,0.60,0.65,0
0.30,0.60,0.00,0
0.40,0.60,0.50,0
0.15,0.80,0.50,0
0.47,0.60,0.50,1
0.50,0.80,0.68,1
0.30,0.60,0.50,0
0.65,0.80,0.00,0
0.15,0.60,0.00,0
0.23,0.60,0.00,0
0.30,0.80,0.50,0
0.10,0.80,0.00,0
0.20,0.60,0.50,0
0.20,0.60,0.00,0
0.20,0.60,0.00,0
0.20,0.60,0.50,0
0.10,0.60,0.50,0
0.50,0.60,0.00,0
0.90,0.60,0.50,0
0.10,0.60,0.00,0
0.23,0.60,0.00,0
0.30,0.60,0.00,0
0.10,0.80,0.00,0
0.95,0.60,0.00,0
0.15,0.60,0.50,0
0.10,0.60,0.50,0
0.15,0.80,0.25,0
0.65,0.80,0.25,0
0.60,0.60,0.50,0
0.10,0.60,0.00,0
0.10,0.60,0.50,0
0.30,0.80,0.00,0
0.20,0.80,0.00,0
0.20,0.60,0.00,0
1.00,0.60,0.50,0
0.30,0.80,0.50,0
1.00,0.80,0.00,0
0.40,0.80,0.50,0
0.10,0.60,0.00,0
0.30,0.80,0.50,0
0.63,0.80,0.00,0
0.30,0.60,0.50,0
0.20,0.80,0.50,0
0.30,0.60,0.50,0
0.47,0.80,0.00,0
0.40,0.80,0.50,0
0.20,0.60,0.00,0
0.20,0.80,0.50,0
0.50,0.60,0.00,0
0.36,0.80,0.10,0
0.90,0.60,0.00,0
1.00,0.60,0.00,0
1.00,0.60,0.50,1
1.00,0.80,0.50,0
0.40,0.60,0.00,0
1.00,0.60,0.50,0
0.26,0.60,0.50,0
1.00,0.60,0.50,0
1.00,0.60,0.50,0
0.56,0.60,0.20,0
0.55,0.80,0.50,0
0.60,0.60,0.50,0
0.25,0.60,0.60,1
