Feature ID,Clean          Feature Name,Target,Feature Type,Approval          Status,Approval Date
9340,8 Homeward,Moon,"Crater, craters",Approved,"Oct 05, 2018"
1,Aachen,Mathilde,"Crater, craters",Approved,2000
2,Aananin,Rhea,"Crater, craters",Approved,1982
16115,Aarna,Mars,"Crater, craters",Approved,"Dec 16, 2022"
6981,Aaru,Titan,Albedo Feature,Approved,2006
3,Ababinili Patera,Io,"Patera, paterae",Approved,2003
4,Abalos Colles,Mars,"Collis, colles",Approved,2003
14147,Abalos Mensa,Mars,"Mensa, mensae",Approved,2006
14148,Abalos Scopuli,Mars,"Scopulus, scopuli",Approved,2006
5,Abalos Undae,Mars,"Unda, undae",Approved,1988
6,Aban,Mars,"Crater, craters",Approved,1988
7,Abans,Ariel,"Crater, craters",Approved,1988
14659,Abassi,Rhea,"Crater, craters",Approved,"Apr 23, 2010"
8,Abatos Planum,Triton,"Planum, plana",Approved,1991
14314,Abaya Lacus,Titan,"Lacus, lacūs",Approved,"Sep 27, 2007"
9,Abbe,Moon,"Crater, craters",Approved,1970
7027,Abbe H,Moon,Satellite Feature,Approved,2006
7028,Abbe K,Moon,Satellite Feature,Approved,2006
7029,Abbe M,Moon,Satellite Feature,Approved,2006
10,Abbot,Moon,"Crater, craters",Approved,1973
6774,Abduh,Moon,"Crater, craters",Not Approved,-
14574,Abedin,Mercury,"Crater, craters",Approved,"Jul 09, 2009"
15728,Abeeso Facula,Mercury,"Facula, faculae",Approved,"Apr 02, 2018"
12,Abel,Moon,"Crater, craters",Approved,1964
7030,Abel A,Moon,Satellite Feature,Approved,2006
13,Abelard,Eros,"Crater, craters",Approved,2003
7031,Abel B,Moon,Satellite Feature,Approved,2006
7032,Abel C,Moon,Satellite Feature,Approved,2006
7033,Abel D,Moon,Satellite Feature,Approved,2006
7034,Abel E,Moon,Satellite Feature,Approved,2006
7035,Abel J,Moon,Satellite Feature,Approved,2006
7036,Abel K,Moon,Satellite Feature,Approved,2006
7037,Abel L,Moon,Satellite Feature,Approved,2006
15449,Abellio,Ceres,"Crater, craters",Approved,"Dec 04, 2015"
7038,Abel M,Moon,Satellite Feature,Approved,2006
11,Abe Mango Dorsa,Venus,"Dorsum, dorsa",Approved,1997
14,Abenezra,Moon,"Crater, craters",Approved,1935
7039,Abenezra A,Moon,Satellite Feature,Approved,2006
7040,Abenezra B,Moon,Satellite Feature,Approved,2006
7041,Abenezra C,Moon,Satellite Feature,Approved,2006
7042,Abenezra D,Moon,Satellite Feature,Approved,2006
7043,Abenezra E,Moon,Satellite Feature,Approved,2006
7044,Abenezra F,Moon,Satellite Feature,Approved,2006
7045,Abenezra G,Moon,Satellite Feature,Approved,2006
7046,Abenezra H,Moon,Satellite Feature,Approved,2006
7047,Abenezra J,Moon,Satellite Feature,Approved,2006
7048,Abenezra P,Moon,Satellite Feature,Approved,2006
15,Abeona Mons,Venus,"Mons, montes",Approved,1997
16,Abetti,Moon,"Crater, craters",Approved,1976
17,Abigail,Venus,"Crater, craters",Approved,1994
18,Abika,Venus,"Crater, craters",Approved,1994
19,Abington,Venus,"Crater, craters",Approved,1994
15164,Abisme,Iapetus,"Crater, craters",Approved,"Aug 16, 2013"
20,Abra,Venus,"Crater, craters",Approved,1997
16117,Abu,Mars,"Crater, craters",Approved,"Dec 16, 2022"
23,Abulfeda,Moon,"Crater, craters",Approved,1935
7051,Abulfeda A,Moon,Satellite Feature,Approved,2006
7052,Abulfeda B,Moon,Satellite Feature,Approved,2006
7053,Abulfeda BA,Moon,Satellite Feature,Approved,2006
7054,Abulfeda C,Moon,Satellite Feature,Approved,2006
7055,Abulfeda D,Moon,Satellite Feature,Approved,2006
7056,Abulfeda E,Moon,Satellite Feature,Approved,2006
7057,Abulfeda F,Moon,Satellite Feature,Approved,2006
7058,Abulfeda G,Moon,Satellite Feature,Approved,2006
7059,Abulfeda H,Moon,Satellite Feature,Approved,2006
7060,Abulfeda J,Moon,Satellite Feature,Approved,2006
7061,Abulfeda K,Moon,Satellite Feature,Approved,2006
7062,Abulfeda L,Moon,Satellite Feature,Approved,2006
7063,Abulfeda M,Moon,Satellite Feature,Approved,2006
7064,Abulfeda N,Moon,Satellite Feature,Approved,2006
7065,Abulfeda O,Moon,Satellite Feature,Approved,2006
7066,Abulfeda P,Moon,Satellite Feature,Approved,2006
7067,Abulfeda Q,Moon,Satellite Feature,Approved,2006
7068,Abulfeda R,Moon,Satellite Feature,Approved,2006
7069,Abulfeda S,Moon,Satellite Feature,Approved,2006
7070,Abulfeda T,Moon,Satellite Feature,Approved,2006
7071,Abulfeda U,Moon,Satellite Feature,Approved,2006
7072,Abulfeda W,Moon,Satellite Feature,Approved,2006
7073,Abulfeda X,Moon,Satellite Feature,Approved,2006
7074,Abulfeda Y,Moon,Satellite Feature,Approved,2006
7075,Abulfeda Z,Moon,Satellite Feature,Approved,2006
22,Abul Wafa,Moon,"Crater, craters",Approved,1970
7049,Abul Wafa A,Moon,Satellite Feature,Approved,2006
7050,Abul Wafa Q,Moon,Satellite Feature,Approved,2006
24,Abundia Corona,Venus,"Corona, coronae",Approved,1994
21,Abu Nuwas,Mercury,"Crater, craters",Approved,1976
25,Abus Vallis,Mars,"Vallis, valles",Approved,1985
26,Abydos Facula,Ganymede,"Facula, faculae",Approved,1985
16081,Acacallis Linea,Europa,"Linea, lineae",Approved,"May 27, 2022"
16105,Acadia Rupes,Mercury,"Rupes, rupēs",Approved,"Nov 07, 2022"
27,Acala Fluctus,Io,"Fluctus, fluctūs",Approved,1997
28,Acastus,Phoebe,"Crater, craters",Approved,2006
29,Accolon,Mimas,"Crater, craters",Approved,1982
14451,Acelin,Iapetus,"Crater, craters",Approved,"Aug 05, 2008"
14339,Acestes,Dione,"Crater, craters",Approved,"Mar 17, 2008"
14841,Achaia Regio,Lutetia,"Regio, regiones",Approved,"Apr 05, 2011"
30,Achall Corona,Venus,"Corona, coronae",Approved,2006
31,Achar,Mars,"Crater, craters",Approved,1979
32,Achek Dorsa,Venus,"Dorsum, dorsa",Approved,1997
33,Achelous,Ganymede,"Crater, craters",Approved,1979
34,Acheron Catena,Mars,"Catena, catenae",Approved,1979
35,Acheron Fossae,Mars,"Fossa, fossae",Approved,1979
14405,Achilles,Tethys,"Crater, craters",Approved,"Apr 28, 2008"
15376,Achita,Ceres,"Crater, craters",Approved,"Sep 21, 2015"
36,Acidalia Colles,Mars,"Collis, colles",Approved,2000
37,Acidalia Mensa,Mars,"Mensa, mensae",Approved,2000
38,Acidalia Planitia,Mars,"Planitia, planitiae",Approved,1973
39,Acmon,Dactyl,"Crater, craters",Approved,1997
15196,Aconia,Vesta,"Crater, craters",Approved,"Feb 05, 2014"
40,Acosta,Moon,"Crater, craters",Approved,1976
41,Acrea Corona,Venus,"Corona, coronae",Approved,2003
14182,Ada,Mars,"Crater, craters",Approved,"Sep 14, 2006"
42,Adad,Ganymede,"Crater, craters",Approved,1979
43,Adaiah,Venus,"Crater, craters",Approved,1994
44,Adal,Callisto,"Crater, craters",Approved,1979
45,Adamas Labyrinthus,Mars,"Labyrinthus, labyrinthi",Approved,1982
46,Adams,Mars,"Crater, craters",Approved,1973
47,Adams,Moon,"Crater, craters",Approved,1970
7076,Adams B,Moon,Satellite Feature,Approved,2006
7077,Adams C,Moon,Satellite Feature,Approved,2006
7078,Adams D,Moon,Satellite Feature,Approved,2006
7079,Adams M,Moon,Satellite Feature,Approved,2006
48,Adamson,Venus,"Crater, craters",Approved,1994
7080,Adams P,Moon,Satellite Feature,Approved,2006
49,Adapa,Ganymede,"Crater, craters",Approved,1979
50,Addams,Venus,"Crater, craters",Approved,1994
14452,Adelroth,Iapetus,"Crater, craters",Approved,"Aug 05, 2008"
6982,Adiri,Titan,Albedo Feature,Approved,2006
51,Aditi Dorsa,Venus,"Dorsum, dorsa",Approved,1997
52,Adivar,Venus,"Crater, craters",Approved,1991
53,Adjua,Rhea,"Crater, craters",Approved,1982
54,Adlinda,Callisto,Large ringed feature,Approved,1979
15676,Adlivun Cavus,Pluto,"Cavus, cavi",Approved,"Aug 08, 2017"
55,Admetus,Phoebe,"Crater, craters",Approved,2006
56,Adonis Linea,Europa,"Linea, lineae",Approved,1979
57,Adrasthea Tesserae,Venus,"Tessera, tesserae",Approved,1997
58,Adrastus,Dione,"Crater, craters",Approved,1982
59,Adriana,Titania,"Crater, craters",Approved,1988
60,Adventure Rupes,Mercury,"Rupes, rupēs",Approved,1976
61,Adzoba,Venus,"Crater, craters",Approved,1997
16111,Aegaeo Rupes,Mercury,"Rupes, rupēs",Approved,"Dec 02, 2022"
62,Aegina Farrum,Venus,"Farrum, farra",Approved,1994
63,Aegir,Callisto,"Crater, craters",Approved,1997
14929,Aelia,Vesta,"Crater, craters",Approved,"Feb 28, 2012"
15913,Aellopus Saxum,Bennu,"Saxum, saxa",Approved,"Mar 26, 2020"
64,Aeneas,Dione,"Crater, craters",Approved,1982
65,Aeolis,Mars,Albedo Feature,Approved,1958
15761,Aeolis Chaos,Mars,"Chaos, chaoses",Approved,"Jun 13, 2018"
15019,Aeolis Dorsa,Mars,"Dorsum, dorsa",Approved,"Jul 27, 2012"
66,Aeolis Mensae,Mars,"Mensa, mensae",Approved,1976
15000,Aeolis Mons,Mars,"Mons, montes",Approved,"May 16, 2012"
15001,Aeolis Palus,Mars,"Palus, paludes",Approved,"May 16, 2012"
14165,Aeolis Planum,Mars,"Planum, plana",Approved,2006
15031,Aeolis Serpens,Mars,"Serpens, serpentes",Approved,"Aug 27, 2012"
14523,Aepinus,Moon,"Crater, craters",Approved,"Jan 22, 2009"
67,Aeracura Corona,Venus,"Corona, coronae",Approved,1994
68,Aeria,Mars,Albedo Feature,Approved,1958
69,Aesacus Dorsum,Mars,"Dorsum, dorsa",Approved,1985
70,Aethelflaed,Venus,"Crater, craters",Approved,1994
71,Aetheria,Mars,Albedo Feature,Approved,1958
72,Aethiopis,Mars,Albedo Feature,Approved,1958
15888,Aetos Saxum,Bennu,"Saxum, saxa",Approved,"Jan 31, 2020"
14450,Afekan,Titan,"Crater, craters",Approved,"Aug 04, 2008"
73,Afiba,Venus,"Crater, craters",Approved,1997
